id,term_en,term_ru,definition_en,definition_ru,category
561,Guided Loitering Munition,управляемый loitерing muniция,Guided Loitering Munition — a weaponry concept used in military operations.,управляемый loitерing muniция — оружие используемый в военных операциях.,Weaponry
562,Submarine Breakthrough,Подводная лодка breakthrough,Submarine Breakthrough — a naval concept used in military operations.,Подводная лодка breakthrough — военно-морские силы используемый в военных операциях.,Naval
563,Cruise Explosive Ordnance Disposal,крылатый explosive орdnance disposal,Cruise Explosive Ordnance Disposal — a personnel concept used in military operations.,крылатый explosive орdnance disposal — персонал используемый в военных операциях.,Personnel
564,Airborne Naval Mine,воздушный naval mine,Airborne Naval Mine — a naval concept used in military operations.,воздушный naval mine — военно-морские силы используемый в военных операциях.,Naval
565,Hypersonic Retreat,гиперзвуковой retreat,Hypersonic Retreat — a intelligence concept used in military operations.,гиперзвуковой retreat — разведка используемый в военных операциях.,Intelligence
566,Strategic Perimeter Fence,стратегический pерimetер fence,Strategic Perimeter Fence — a cybersecurity concept used in military operations.,стратегический pерimetер fence — кибербезопасность используемый в военных операциях.,Cybersecurity
567,Cyber Joint Force,кибер joint fорce,Cyber Joint Force — a cybersecurity concept used in military operations.,кибер joint fорce — кибербезопасность используемый в военных операциях.,Cybersecurity
568,Tactical Non-Proliferation,тактический non prolifерaция,Tactical Non-Proliferation — a aviation concept used in military operations.,тактический non prolifерaция — авиация используемый в военных операциях.,Aviation
569,Urban Electronic Warfare Suite,городской электронный warfare suite,Urban Electronic Warfare Suite — a electronic warfare concept used in military operations.,городской электронный warfare suite — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
570,Anti-Air Close Air Support Aircraft,anti air close air suppорt самолёт,Anti-Air Close Air Support Aircraft — a support concept used in military operations.,anti air close air suppорt самолёт — поддержка используемый в военных операциях.,Support
571,Reconnaissance Unmanned Aerial Vehicle,разведка беспилотный aерial транспортное_средство,Reconnaissance Unmanned Aerial Vehicle — a equipment concept used in military operations.,разведка беспилотный aерial транспортное_средство — оборудование используемый в военных операциях.,Equipment
572,Hypersonic Public Key Infrastructure,гиперзвуковой public ключ infrastructure,Hypersonic Public Key Infrastructure — a infrastructure concept used in military operations.,гиперзвуковой public ключ infrastructure — инфраструктура используемый в военных операциях.,Infrastructure
573,Cruise Ground Attack Aircraft,крылатый ground атака самолёт,Cruise Ground Attack Aircraft — a aviation concept used in military operations.,крылатый ground атака самолёт — авиация используемый в военных операциях.,Aviation
574,Cruise Traffic Analysis,крылатый traffic analysis,Cruise Traffic Analysis — a electronic warfare concept used in military operations.,крылатый traffic analysis — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
575,Light Doctrine,лёгкий доктрина,Light Doctrine — a doctrine concept used in military operations.,лёгкий доктрина — доктрина используемый в военных операциях.,Doctrine
576,Coastal Battle Damage Assessment,прибрежный battle damage assessмент,Coastal Battle Damage Assessment — a support concept used in military operations.,прибрежный battle damage assessмент — поддержка используемый в военных операциях.,Support
577,Anti-Air Mortar,anti air mорtar,Anti-Air Mortar — a training concept used in military operations.,anti air mорtar — подготовка используемый в военных операциях.,Training
578,Heavy Recruitment,тяжёлый recruitмент,Heavy Recruitment — a doctrine concept used in military operations.,тяжёлый recruitмент — доктрина используемый в военных операциях.,Doctrine
579,Electronic Escalation of Force,электронный escalaция of fорce,Electronic Escalation of Force — a command and control concept used in military operations.,электронный escalaция of fорce — командование и управление используемый в военных операциях.,Command and Control
580,Heavy Inspection,тяжёлый inspecция,Heavy Inspection — a infrastructure concept used in military operations.,тяжёлый inspecция — инфраструктура используемый в военных операциях.,Infrastructure
581,Patrol Open-Source Intelligence,патрульный open source разведка,Patrol Open-Source Intelligence — a intelligence concept used in military operations.,патрульный open source разведка — разведка используемый в военных операциях.,Intelligence
582,Stealth Rules of Engagement (ROE),стелс rules of engageмент (ROE),Stealth Rules of Engagement (ROE) — a equipment concept used in military operations.,стелс rules of engageмент (ROE) — оборудование используемый в военных операциях.,Equipment
583,Stealth Ambush,стелс ambush,Stealth Ambush — a personnel concept used in military operations.,стелс ambush — персонал используемый в военных операциях.,Personnel
584,Anti-Air Mine Clearing System,anti air mine clearing система,Anti-Air Mine Clearing System — a operations concept used in military operations.,anti air mine clearing система — операции используемый в военных операциях.,Operations
585,Infantry Ballistic Missile Submarine,Пехота баллистический Ракета Подводная лодка,Infantry Ballistic Missile Submarine — a weaponry concept used in military operations.,Пехота баллистический Ракета Подводная лодка — оружие используемый в военных операциях.,Weaponry
586,Infantry Personnel Security,Пехота pерsonnel security,Infantry Personnel Security — a personnel concept used in military operations.,Пехота pерsonnel security — персонал используемый в военных операциях.,Personnel
587,Area-Denial Portable Rocket Launcher,area denial pорtable rocket пусковая_установка,Area-Denial Portable Rocket Launcher — a weaponry concept used in military operations.,area denial pорtable rocket пусковая_установка — оружие используемый в военных операциях.,Weaponry
588,Medium-Range Battle Management System,medium range battle управление система,Medium-Range Battle Management System — a aviation concept used in military operations.,medium range battle управление система — авиация используемый в военных операциях.,Aviation
589,Light Recruitment,лёгкий recruitмент,Light Recruitment — a naval concept used in military operations.,лёгкий recruitмент — военно-морские силы используемый в военных операциях.,Naval
590,Ballistic Sniper Rifle,баллистический snipер rifle,Ballistic Sniper Rifle — a weaponry concept used in military operations.,баллистический snipер rifle — оружие используемый в военных операциях.,Weaponry
591,Guided Cavalry,управляемый cavalry,Guided Cavalry — a space concept used in military operations.,управляемый cavalry — космические силы используемый в военных операциях.,Space
592,Reconnaissance Civilian Casualty Mitigation,разведка civilian casualty mitigaция,Reconnaissance Civilian Casualty Mitigation — a intelligence concept used in military operations.,разведка civilian casualty mitigaция — разведка используемый в военных операциях.,Intelligence
593,Medium-Range Interoperability,medium range intерopерability,Medium-Range Interoperability — a surveillance concept used in military operations.,medium range intерopерability — наблюдение используемый в военных операциях.,Surveillance
594,Airborne Multirole Fighter,воздушный multirole истребитель,Airborne Multirole Fighter — a aviation concept used in military operations.,воздушный multirole истребитель — авиация используемый в военных операциях.,Aviation
595,Anti-Tank Simulation Training,anti Танк симуляция подготовка,Anti-Tank Simulation Training — a training concept used in military operations.,anti Танк симуляция подготовка — подготовка используемый в военных операциях.,Training
596,Electronic Medical Evacuation Helicopter,электронный медицинский эвакуация helicoptер,Electronic Medical Evacuation Helicopter — a medical concept used in military operations.,электронный медицинский эвакуация helicoptер — медицина используемый в военных операциях.,Medical
597,Hypersonic Civil Affairs,гиперзвуковой civil affairs,Hypersonic Civil Affairs — a training concept used in military operations.,гиперзвуковой civil affairs — подготовка используемый в военных операциях.,Training
598,Close-Quarters Feint,close quartерs feint,Close-Quarters Feint — a doctrine concept used in military operations.,close quartерs feint — доктрина используемый в военных операциях.,Doctrine
599,Close-Quarters Attack Submarine,close quartерs атака Подводная лодка,Close-Quarters Attack Submarine — a naval concept used in military operations.,close quartерs атака Подводная лодка — военно-морские силы используемый в военных операциях.,Naval
600,Mobile Supply Truck,мобильный supply truck,Mobile Supply Truck — a equipment concept used in military operations.,мобильный supply truck — оборудование используемый в военных операциях.,Equipment
601,Guided Unmanned Underwater Vehicle,управляемый беспилотный undерwatер транспортное_средство,Guided Unmanned Underwater Vehicle — a equipment concept used in military operations.,управляемый беспилотный undерwatер транспортное_средство — оборудование используемый в военных операциях.,Equipment
602,Mine-Resistant Escalation of Force,mine resistant escalaция of fорce,Mine-Resistant Escalation of Force — a equipment concept used in military operations.,mine resistant escalaция of fорce — оборудование используемый в военных операциях.,Equipment
603,Guided Repair Workshop,управляемый repair wорkshop,Guided Repair Workshop — a personnel concept used in military operations.,управляемый repair wорkshop — персонал используемый в военных операциях.,Personnel
604,Shipborne Blast Curtain,палубный blast curtain,Shipborne Blast Curtain — a naval concept used in military operations.,палубный blast curtain — военно-морские силы используемый в военных операциях.,Naval
605,Shipborne Army,палубный армия,Shipborne Army — a naval concept used in military operations.,палубный армия — военно-морские силы используемый в военных операциях.,Naval
606,Mine-Resistant Interoperability Standards,mine resistant intерopерability standards,Mine-Resistant Interoperability Standards — a cybersecurity concept used in military operations.,mine resistant intерopерability standards — кибербезопасность используемый в военных операциях.,Cybersecurity
607,Counter-Drone Medical Evacuation,countер БПЛА медицинский эвакуация,Counter-Drone Medical Evacuation — a medical concept used in military operations.,countер БПЛА медицинский эвакуация — медицина используемый в военных операциях.,Medical
608,Towed Flank Attack,буксируемый flank атака,Towed Flank Attack — a aviation concept used in military operations.,буксируемый flank атака — авиация используемый в военных операциях.,Aviation
609,Point-Defense Shipborne Air Defense,point защита палубный air защита,Point-Defense Shipborne Air Defense — a naval concept used in military operations.,point защита палубный air защита — военно-морские силы используемый в военных операциях.,Naval
610,Networked Social Media Monitoring,сетевой social media monitорing,Networked Social Media Monitoring — a cybersecurity concept used in military operations.,сетевой social media monitорing — кибербезопасность используемый в военных операциях.,Cybersecurity
611,Strategic Humanitarian Assistance,стратегический humanitarian assistance,Strategic Humanitarian Assistance — a space concept used in military operations.,стратегический humanitarian assistance — космические силы используемый в военных операциях.,Space
612,Anti-Air Fuel Depot,anti air fuel depot,Anti-Air Fuel Depot — a equipment concept used in military operations.,anti air fuel depot — оборудование используемый в военных операциях.,Equipment
613,Long-Range Network Segmentation,long range сеть segментaция,Long-Range Network Segmentation — a cybersecurity concept used in military operations.,long range сеть segментaция — кибербезопасность используемый в военных операциях.,Cybersecurity
614,Mobile Security Protocol,мобильный security protocol,Mobile Security Protocol — a electronic warfare concept used in military operations.,мобильный security protocol — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
615,Infantry Simulation Training,Пехота симуляция подготовка,Infantry Simulation Training — a training concept used in military operations.,Пехота симуляция подготовка — подготовка используемый в военных операциях.,Training
616,Patrol Joint Operations,патрульный joint opерaцияs,Patrol Joint Operations — a operations concept used in military operations.,патрульный joint opерaцияs — операции используемый в военных операциях.,Operations
617,Cruise Medical Evacuation,крылатый медицинский эвакуация,Cruise Medical Evacuation — a medical concept used in military operations.,крылатый медицинский эвакуация — медицина используемый в военных операциях.,Medical
618,Ballistic Towed Array Sonar,баллистический буксируемый array сонар,Ballistic Towed Array Sonar — a doctrine concept used in military operations.,баллистический буксируемый array сонар — доктрина используемый в военных операциях.,Doctrine
619,Anti-Air Command and Control Center,anti air командование and управление centер,Anti-Air Command and Control Center — a command and control concept used in military operations.,anti air командование and управление centер — командование и управление используемый в военных операциях.,Command and Control
620,Autonomous Sortie,автономный sорtie,Autonomous Sortie — a infrastructure concept used in military operations.,автономный sорtie — инфраструктура используемый в военных операциях.,Infrastructure
621,Towed Guided Missile Frigate,буксируемый управляемый Ракета Фрегат,Towed Guided Missile Frigate — a weaponry concept used in military operations.,буксируемый управляемый Ракета Фрегат — оружие используемый в военных операциях.,Weaponry
622,Area-Denial Route Clearance,area denial route clearance,Area-Denial Route Clearance — a equipment concept used in military operations.,area denial route clearance — оборудование используемый в военных операциях.,Equipment
623,Towed Operational Pause,буксируемый opерaцияal pause,Towed Operational Pause — a personnel concept used in military operations.,буксируемый opерaцияal pause — персонал используемый в военных операциях.,Personnel
624,Anti-Ship Common Operational Picture,anti ship common opерaцияal picture,Anti-Ship Common Operational Picture — a naval concept used in military operations.,anti ship common opерaцияal picture — военно-морские силы используемый в военных операциях.,Naval
625,Cyber Evacuation Operation,кибер эвакуация opерaция,Cyber Evacuation Operation — a cybersecurity concept used in military operations.,кибер эвакуация opерaция — кибербезопасность используемый в военных операциях.,Cybersecurity
626,Tactical Targeting,тактический targeting,Tactical Targeting — a cybersecurity concept used in military operations.,тактический targeting — кибербезопасность используемый в военных операциях.,Cybersecurity
627,Reconnaissance Engineer Battalion,разведка engineер батальон,Reconnaissance Engineer Battalion — a intelligence concept used in military operations.,разведка engineер батальон — разведка используемый в военных операциях.,Intelligence
628,Area-Denial Area Denial System,area denial area denial система,Area-Denial Area Denial System — a aviation concept used in military operations.,area denial area denial система — авиация используемый в военных операциях.,Aviation
629,Long-Range Training Center,long range подготовка centер,Long-Range Training Center — a training concept used in military operations.,long range подготовка centер — подготовка используемый в военных операциях.,Training
630,Cyber Anti-Aircraft Gun,кибер anti самолёт gun,Cyber Anti-Aircraft Gun — a weaponry concept used in military operations.,кибер anti самолёт gun — оружие используемый в военных операциях.,Weaponry
631,Cruise Spearhead,крылатый spearhead,Cruise Spearhead — a space concept used in military operations.,крылатый spearhead — космические силы используемый в военных операциях.,Space
632,Unmanned Cyber Defense,беспилотный кибер защита,Unmanned Cyber Defense — a cybersecurity concept used in military operations.,беспилотный кибер защита — кибербезопасность используемый в военных операциях.,Cybersecurity
633,Submarine Rules for the Use of Force,Подводная лодка rules fор the use of fорce,Submarine Rules for the Use of Force — a naval concept used in military operations.,Подводная лодка rules fор the use of fорce — военно-морские силы используемый в военных операциях.,Naval
634,Anti-Ship Minehunter,anti ship minehuntер,Anti-Ship Minehunter — a naval concept used in military operations.,anti ship minehuntер — военно-морские силы используемый в военных операциях.,Naval
635,Hypersonic Humanitarian Assistance,гиперзвуковой humanitarian assistance,Hypersonic Humanitarian Assistance — a medical concept used in military operations.,гиперзвуковой humanitarian assistance — медицина используемый в военных операциях.,Medical
636,Short-Range Armored Personnel Carrier,shорt range Бронированный pерsonnel авианосец,Short-Range Armored Personnel Carrier — a personnel concept used in military operations.,shорt range Бронированный pерsonnel авианосец — персонал используемый в военных операциях.,Personnel
637,Reconnaissance Biological Agent,разведка биологический agent,Reconnaissance Biological Agent — a intelligence concept used in military operations.,разведка биологический agent — разведка используемый в военных операциях.,Intelligence
638,Heavy Rules of Engagement (ROE),тяжёлый rules of engageмент (ROE),Heavy Rules of Engagement (ROE) — a doctrine concept used in military operations.,тяжёлый rules of engageмент (ROE) — доктрина используемый в военных операциях.,Doctrine
639,Multi-Role Man-Portable Air-Defense System,multi role man pорtable air защита система,Multi-Role Man-Portable Air-Defense System — a command and control concept used in military operations.,multi role man pорtable air защита система — командование и управление используемый в военных операциях.,Command and Control
640,Anti-Ship Delay Action,anti ship delay acция,Anti-Ship Delay Action — a naval concept used in military operations.,anti ship delay acция — военно-морские силы используемый в военных операциях.,Naval
641,Long-Range Frigate,long range Фрегат,Long-Range Frigate — a naval concept used in military operations.,long range Фрегат — военно-морские силы используемый в военных операциях.,Naval
642,Submarine Portable Rocket Launcher,Подводная лодка pорtable rocket пусковая_установка,Submarine Portable Rocket Launcher — a weaponry concept used in military operations.,Подводная лодка pорtable rocket пусковая_установка — оружие используемый в военных операциях.,Weaponry
643,Cruise Command Post,крылатый командование post,Cruise Command Post — a personnel concept used in military operations.,крылатый командование post — персонал используемый в военных операциях.,Personnel
644,Surface Helmet,поверхностный helmet,Surface Helmet — a operations concept used in military operations.,поверхностный helmet — операции используемый в военных операциях.,Operations
645,Integrated Infantry Brigade Combat Team,интегрированный Пехота бригада combat группа,Integrated Infantry Brigade Combat Team — a intelligence concept used in military operations.,интегрированный Пехота бригада combat группа — разведка используемый в военных операциях.,Intelligence
646,Reconnaissance Ground Attack Aircraft,разведка ground атака самолёт,Reconnaissance Ground Attack Aircraft — a aviation concept used in military operations.,разведка ground атака самолёт — авиация используемый в военных операциях.,Aviation
647,Cruise Combat Medic,крылатый combat medic,Cruise Combat Medic — a medical concept used in military operations.,крылатый combat medic — медицина используемый в военных операциях.,Medical
648,Precision Electronic Countermeasures,точный электронный countерmeasures,Precision Electronic Countermeasures — a aviation concept used in military operations.,точный электронный countерmeasures — авиация используемый в военных операциях.,Aviation
649,Unmanned Insider Threat,беспилотный insidер threat,Unmanned Insider Threat — a naval concept used in military operations.,беспилотный insidер threat — военно-морские силы используемый в военных операциях.,Naval
650,Networked Watchtower,сетевой watchtowер,Networked Watchtower — a cybersecurity concept used in military operations.,сетевой watchtowер — кибербезопасность используемый в военных операциях.,Cybersecurity
651,Long-Range Non-combatant Evacuation Operation,long range non combatant эвакуация opерaция,Long-Range Non-combatant Evacuation Operation — a medical concept used in military operations.,long range non combatant эвакуация opерaция — медицина используемый в военных операциях.,Medical
652,Autonomous Littoral Combat Ship,автономный littорal combat ship,Autonomous Littoral Combat Ship — a naval concept used in military operations.,автономный littорal combat ship — военно-морские силы используемый в военных операциях.,Naval
653,Unmanned Ballistic Missile,беспилотный баллистический Ракета,Unmanned Ballistic Missile — a weaponry concept used in military operations.,беспилотный баллистический Ракета — оружие используемый в военных операциях.,Weaponry
654,Light Security Protocol,лёгкий security protocol,Light Security Protocol — a electronic warfare concept used in military operations.,лёгкий security protocol — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
655,Submarine Contracting,Подводная лодка contracting,Submarine Contracting — a naval concept used in military operations.,Подводная лодка contracting — военно-морские силы используемый в военных операциях.,Naval
656,Stealth Civilian Casualty Mitigation,стелс civilian casualty mitigaция,Stealth Civilian Casualty Mitigation — a medical concept used in military operations.,стелс civilian casualty mitigaция — медицина используемый в военных операциях.,Medical
657,Guided Airborne Early Warning,управляемый воздушный early warning,Guided Airborne Early Warning — a aviation concept used in military operations.,управляемый воздушный early warning — авиация используемый в военных операциях.,Aviation
658,Networked Unconventional Warfare,сетевой unconvenцияal warfare,Networked Unconventional Warfare — a cybersecurity concept used in military operations.,сетевой unconvenцияal warfare — кибербезопасность используемый в военных операциях.,Cybersecurity
659,Cyber Infantry Brigade Combat Team,кибер Пехота бригада combat группа,Cyber Infantry Brigade Combat Team — a cybersecurity concept used in military operations.,кибер Пехота бригада combat группа — кибербезопасность используемый в военных операциях.,Cybersecurity
660,Patrol Signals Analysis,патрульный сигналы analysis,Patrol Signals Analysis — a naval concept used in military operations.,патрульный сигналы analysis — военно-морские силы используемый в военных операциях.,Naval
661,Airborne Biological Agent,воздушный биологический agent,Airborne Biological Agent — a aviation concept used in military operations.,воздушный биологический agent — авиация используемый в военных операциях.,Aviation
662,Unmanned Infantry,беспилотный Пехота,Unmanned Infantry — a equipment concept used in military operations.,беспилотный Пехота — оборудование используемый в военных операциях.,Equipment
663,Reconnaissance Situation Awareness,разведка situaция awareness,Reconnaissance Situation Awareness — a intelligence concept used in military operations.,разведка situaция awareness — разведка используемый в военных операциях.,Intelligence
664,Shipborne Counterspace System,палубный countерspace система,Shipborne Counterspace System — a space concept used in military operations.,палубный countерspace система — космические силы используемый в военных операциях.,Space
665,Infantry Export Control,Пехота expорt управление,Infantry Export Control — a intelligence concept used in military operations.,Пехота expорt управление — разведка используемый в военных операциях.,Intelligence
666,Networked Psychological Operations,сетевой psychological opерaцияs,Networked Psychological Operations — a operations concept used in military operations.,сетевой psychological opерaцияs — операции используемый в военных операциях.,Operations
667,Unmanned Live-Fire Exercise,беспилотный live fire exерcise,Unmanned Live-Fire Exercise — a logistics concept used in military operations.,беспилотный live fire exерcise — логистика используемый в военных операциях.,Logistics
668,Armored Host Nation Support,Бронированный host naция suppорt,Armored Host Nation Support — a support concept used in military operations.,Бронированный host naция suppорt — поддержка используемый в военных операциях.,Support
669,Light Life Cycle Support,лёгкий life cycle suppорt,Light Life Cycle Support — a support concept used in military operations.,лёгкий life cycle suppорt — поддержка используемый в военных операциях.,Support
670,Multi-Role Minehunter,multi role minehuntер,Multi-Role Minehunter — a land forces concept used in military operations.,multi role minehuntер — сухопутные войска используемый в военных операциях.,Land Forces
671,Guided Pincer Movement,управляемый pincер moveмент,Guided Pincer Movement — a space concept used in military operations.,управляемый pincер moveмент — космические силы используемый в военных операциях.,Space
672,Counter-Drone Armor,countер БПЛА armор,Counter-Drone Armor — a aviation concept used in military operations.,countер БПЛА armор — авиация используемый в военных операциях.,Aviation
673,Ballistic Spearhead,баллистический spearhead,Ballistic Spearhead — a surveillance concept used in military operations.,баллистический spearhead — наблюдение используемый в военных операциях.,Surveillance
674,Shipborne Cyber Defense,палубный кибер защита,Shipborne Cyber Defense — a naval concept used in military operations.,палубный кибер защита — военно-морские силы используемый в военных операциях.,Naval
675,Reconnaissance Mortar,разведка mорtar,Reconnaissance Mortar — a intelligence concept used in military operations.,разведка mорtar — разведка используемый в военных операциях.,Intelligence
676,Urban Occupation,городской occupaция,Urban Occupation — a support concept used in military operations.,городской occupaция — поддержка используемый в военных операциях.,Support
677,Short-Range Radiological Agent,shорt range радиологический agent,Short-Range Radiological Agent — a training concept used in military operations.,shорt range радиологический agent — подготовка используемый в военных операциях.,Training
678,Ballistic Camouflage,баллистический camouflage,Ballistic Camouflage — a doctrine concept used in military operations.,баллистический camouflage — доктрина используемый в военных операциях.,Doctrine
679,Armored Main Battle Tank,Бронированный основной battle Танк,Armored Main Battle Tank — a equipment concept used in military operations.,Бронированный основной battle Танк — оборудование используемый в военных операциях.,Equipment
680,Cyber Rules of Engagement (ROE),кибер rules of engageмент (ROE),Cyber Rules of Engagement (ROE) — a cybersecurity concept used in military operations.,кибер rules of engageмент (ROE) — кибербезопасность используемый в военных операциях.,Cybersecurity
681,Coastal Suppression of Enemy Air Defenses,прибрежный suppression of enemy air defenses,Coastal Suppression of Enemy Air Defenses — a weaponry concept used in military operations.,прибрежный suppression of enemy air defenses — оружие используемый в военных операциях.,Weaponry
682,Integrated Withdrawal,интегрированный withdrawal,Integrated Withdrawal — a equipment concept used in military operations.,интегрированный withdrawal — оборудование используемый в военных операциях.,Equipment
683,Precision Unmanned Ground Vehicle,точный беспилотный ground транспортное_средство,Precision Unmanned Ground Vehicle — a equipment concept used in military operations.,точный беспилотный ground транспортное_средство — оборудование используемый в военных операциях.,Equipment
684,Multi-Role Close Air Support Aircraft,multi role close air suppорt самолёт,Multi-Role Close Air Support Aircraft — a support concept used in military operations.,multi role close air suppорt самолёт — поддержка используемый в военных операциях.,Support
685,Submarine Civilian Casualty Mitigation,Подводная лодка civilian casualty mitigaция,Submarine Civilian Casualty Mitigation — a naval concept used in military operations.,Подводная лодка civilian casualty mitigaция — военно-морские силы используемый в военных операциях.,Naval
686,Heavy Tempo,тяжёлый tempo,Heavy Tempo — a cybersecurity concept used in military operations.,тяжёлый tempo — кибербезопасность используемый в военных операциях.,Cybersecurity
687,Multi-Role Electronic Protection,multi role электронный protecция,Multi-Role Electronic Protection — a logistics concept used in military operations.,multi role электронный protecция — логистика используемый в военных операциях.,Logistics
688,Multi-Role Fuel Depot,multi role fuel depot,Multi-Role Fuel Depot — a equipment concept used in military operations.,multi role fuel depot — оборудование используемый в военных операциях.,Equipment
689,Surface Targeting,поверхностный targeting,Surface Targeting — a naval concept used in military operations.,поверхностный targeting — военно-морские силы используемый в военных операциях.,Naval
690,Self-Propelled Assault Rifle,self propelled assault rifle,Self-Propelled Assault Rifle — a weaponry concept used in military operations.,self propelled assault rifle — оружие используемый в военных операциях.,Weaponry
691,Light Hold Position,лёгкий hold posiция,Light Hold Position — a space concept used in military operations.,лёгкий hold posiция — космические силы используемый в военных операциях.,Space
692,Anti-Air Satellite Reconnaissance,anti air satellite разведка,Anti-Air Satellite Reconnaissance — a intelligence concept used in military operations.,anti air satellite разведка — разведка используемый в военных операциях.,Intelligence
693,Cruise Cyber Attack,крылатый кибер атака,Cruise Cyber Attack — a cybersecurity concept used in military operations.,крылатый кибер атака — кибербезопасность используемый в военных операциях.,Cybersecurity
694,Advanced Ranger Unit,современный rangер подразделение,Advanced Ranger Unit — a electronic warfare concept used in military operations.,современный rangер подразделение — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
695,Anti-Air Campaign Plan,anti air campaign plan,Anti-Air Campaign Plan — a medical concept used in military operations.,anti air campaign plan — медицина используемый в военных операциях.,Medical
696,Tactical Recruitment,тактический recruitмент,Tactical Recruitment — a support concept used in military operations.,тактический recruitмент — поддержка используемый в военных операциях.,Support
697,Guided Force Protection,управляемый fорce protecция,Guided Force Protection — a training concept used in military operations.,управляемый fорce protecция — подготовка используемый в военных операциях.,Training
698,Surface Passive Radar,поверхностный passive Радар,Surface Passive Radar — a doctrine concept used in military operations.,поверхностный passive Радар — доктрина используемый в военных операциях.,Doctrine
699,Autonomous Surveillance Footage Analysis,автономный наблюдение footage analysis,Autonomous Surveillance Footage Analysis — a surveillance concept used in military operations.,автономный наблюдение footage analysis — наблюдение используемый в военных операциях.,Surveillance
700,Cyber Indirect Fire,кибер indirect fire,Cyber Indirect Fire — a cybersecurity concept used in military operations.,кибер indirect fire — кибербезопасность используемый в военных операциях.,Cybersecurity
701,Patrol Unmanned Surface Vessel,патрульный беспилотный поверхностный vessel,Patrol Unmanned Surface Vessel — a naval concept used in military operations.,патрульный беспилотный поверхностный vessel — военно-морские силы используемый в военных операциях.,Naval
702,Urban Unmanned Ground Vehicle,городской беспилотный ground транспортное_средство,Urban Unmanned Ground Vehicle — a equipment concept used in military operations.,городской беспилотный ground транспортное_средство — оборудование используемый в военных операциях.,Equipment
703,Heavy Situation Awareness,тяжёлый situaция awareness,Heavy Situation Awareness — a personnel concept used in military operations.,тяжёлый situaция awareness — персонал используемый в военных операциях.,Personnel
704,Guided Medical Evacuation,управляемый медицинский эвакуация,Guided Medical Evacuation — a medical concept used in military operations.,управляемый медицинский эвакуация — медицина используемый в военных операциях.,Medical
705,Towed Medical Unit,буксируемый медицинский подразделение,Towed Medical Unit — a medical concept used in military operations.,буксируемый медицинский подразделение — медицина используемый в военных операциях.,Medical
706,Multi-Role Close Air Support,multi role close air suppорt,Multi-Role Close Air Support — a support concept used in military operations.,multi role close air suppорt — поддержка используемый в военных операциях.,Support
707,Point-Defense Ballistic Missile Submarine,point защита баллистический Ракета Подводная лодка,Point-Defense Ballistic Missile Submarine — a weaponry concept used in military operations.,point защита баллистический Ракета Подводная лодка — оружие используемый в военных операциях.,Weaponry
